test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,Tau_th,Premium_th,Delta_th,option_return,M_floor,Return_t,Cluster
2019-08-25,-1,10500,10190.3082743193,579.50353445692,5,1.03051528282142,0.156896929128671,0.871673126716729,0.0193,0,225178.611,22.1,9484.55,0,1007.74,1,0.7522757664483043,1.03,0.030058951729837274,1
2019-08-25,-1,11500,10180.5236960282,1364.7869059371,5,1.12973046816311,0.191180362713588,0.821975590239562,0.0193,0,49879.154,4.9,9484.55,0,2087.52,1,0.4767506863030295,1.12,0.12197908052347516,1
2019-09-22,-1,8000,9981.07969227981,10.1695404719431,5,0.801520340033,0.0992578941464746,1.02794941389979,0.0187,0,1082941.95,108.5,8055.64,0,30.3888628248582,0.110133382577848,0,0.8,-0.2212449297960164,0
2019-09-22,-1,8500,10029.4769005498,23.7919515716283,5,0.8475161568057,0.117383558904494,0.955429516473018,0.0187,0,86252.043,8.6,8055.64,0,500.612283480687,1,17.676904190150385,0.84,-0.16544537583172678,0
2019-09-22,-1,9000,10034.8476423473,42.316624088098,5,0.896882602018421,0.156591854705822,0.801436207604572,0.0187,0,455578.02,45.4,8055.64,0,973.520205629122,1,21.316525014707185,0.89,-0.10883030395197318,0
2019-09-22,-1,9250,9982.33054376479,59.1147917169105,5,0.926672081291602,0.19449673772751,0.669501598804036,0.0187,0,286482.139,28.7,8055.64,0,1203.69,1,19.204080320870663,0.92,-0.0761555178622012,0
2019-09-22,-1,9500,10030.6772179941,90.8824133839618,5,0.947111145183018,0.198493544060987,0.669527056729074,0.0187,0,1489529.51,148.5,8055.64,0,1437.04994510237,1,14.892623734559503,0.94,-0.05433882712528788,0
2019-09-22,-1,9750,9977.58814653662,166.088287420057,5,0.977202705716781,0.222093220018747,0.607747904912236,0.0187,0,268393.649,26.9,8055.64,0,1710.27,1,9.201562231265365,0.97,-0.023061170755904106,0
2019-09-22,-1,10000,9933.8783776008,298.667390890829,5,1.00668280142987,0.232485368975989,0.595469571810998,0.0187,0,657605.354,66.2,8055.64,0,1962.61807692671,1,5.510118142461411,1,0.006660570500689981,0
2019-10-20,-1,6750,8074.28868009523,11.4812114137463,5,0.836063237346049,0.129767115200342,0.892172592737218,0.0163,0,122717.99,15.2,7431.88,0,7.43,0,0,0.83,-0.17905102599977277,0
2019-10-20,-1,7000,8065.38730366602,16.300321365936,5,0.86814449619834,0.158964809600607,0.782643141288739,0.0163,0,150781.351,18.7,7431.88,0,7.45,0,0,0.86,-0.1413971079018402,0
2019-10-20,-1,7250,7993.21085515186,29.856554171959,5,0.907207940844343,0.193736387423597,0.667617137354535,0.0163,0,758398.344,94.9,7431.88,0,9.51804819024551,0,0,0.9,-0.0973835929116592,0
2019-10-20,-1,7500,8028.71502736736,49.5954570177678,5,0.93423462102046,0.211499325121641,0.620786499094562,0.0163,0,1023565.15,127.5,7431.88,0,71.0937163481027,1,0.37351290009477256,0.93,-0.06802767206275251,0
2019-10-20,-1,7750,8053.14501208157,87.0209038616056,5,0.962532645569449,0.234249089606953,0.564240429830646,0.0163,0,1688436.239,209.7,7431.88,0,311.059407970019,1,2.655673359885167,0.96,-0.038187295920630145,0
2019-10-20,-1,8000,8107.16207235933,154.756084216317,5,0.986955149092531,0.242527877786987,0.557006025836445,0.0163,0,1180195.474,145.6,7431.88,0,555.089040777767,1,2.6710672984325816,0.98,-0.013130682230063223,0
2019-10-20,-1,8250,8257.63918528199,205.672333524001,5,0.999100547418533,0.238383337063434,0.579607437566564,0.0163,0,55324.762,6.7,7431.88,0,794.782565600598,1,2.977783428535511,0.99,-8.998573316607115e-4,0
2019-10-27,-1,8250,9240.18811965077,70.1279327075369,5,0.892923070192109,0.134525205111805,0.902711131122291,0.0163,0,270712.011,29.3,9147.98,0,4.56467070589627,0,0,0.89,-0.11325484941777741,1
2019-10-27,-1,8500,9376.67611810593,83.8517399506607,5,0.906721564128855,0.140134084079273,0.886518929021793,0.0163,0,278420.642,29.7,9147.98,0,4.56405434755212,0,0,0.9,-0.09791986152166936,1
2019-10-27,-1,8750,9483.52989393091,103.094310656468,5,0.922977802084192,0.151012701862589,0.849139157860669,0.0163,0,83425.625,8.8,9147.98,0,9.3665599823684,0,0,0.92,-0.08015009451475553,1
2019-10-27,-1,9000,9280.32312687733,245.951311721768,5,0.970120304548844,0.154096619910933,0.85948603226867,0.0163,0,1611449.624,173.7,9147.98,0,12.1508246226911,0,0,0.97,-0.030335189867124586,1
2019-10-27,-1,9250,9394.94496488628,270.936287679639,5,0.984804863638758,0.175052303981316,0.787027681921556,0.0163,0,944908.006,100.6,9147.98,0,145.204661436095,1,-0.6234539091322049,0.98,-0.015311765416982695,1
2019-10-27,-1,9500,9550.32369145205,353.292676070147,5,0.994963896409188,0.15277295370481,0.879502970737033,0.0163,0,719925.62,75.4,9147.98,0,414.068682200282,1,-0.0036023279177570472,0.99,-0.005048827497752822,1
2019-10-27,-1,10000,9452.58832323525,704.335996428935,5,1.05813899517644,0.169126012177352,0.844751949599605,0.0163,0,181450.642,19.2,9147.98,0,909.07,1,0.20967834147316114,1.05,0.05651170021017746,1
2019-11-17,-1,7000,8526.82,8.53,5,0.820939107428092,0.123383754516239,0.9162,0.0154,0,119375.48,14,7617.07,0,3.81,0,0,0.82,-0.19730634106464637,0
