test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,1,10000,7648.75037974684,60.1640189873418,27,1.30759286632837,0.967958488998013,0.696459493670886,0.0156,0,241700.512,31.6,7194.4,0,-1,1.3,0.30759286632837,1
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930776,0.7562,0.0156,0,122308.48,16.1,7194.4,0,-1,1.44,0.44797809604044003,1
2019-11-30,1,12000,7737.13818181818,26.0318181818182,27,1.55097125596412,0.986281950339999,0.851154545454545,0.0156,0,8510.852,1.1,7194.4,0,-1,1.55,0.55097125596412,1
2019-11-30,1,13000,7667.4784,11.5036,27,1.69547384503248,0.988303045240741,0.88152,0.0156,0,76674.784,10,7194.4,0,-1,1.69,0.69547384503248,1
2019-11-30,1,14000,7546.16955555555,7.62977777777778,27,1.85547345017409,0.992708514164639,0.956315555555556,0.0156,0,339577.63,45,7194.4,0,-1,1.85,0.8554734501740899,1
2019-11-30,1,15000,7602.284,9.154,27,1.97356899497078,0.99640706925801,1.05284,0.0156,0,3801.142,0.5,7194.4,0,-1,1.97,0.97356899497078,1
2020-03-28,1,4500,6261.88,1866.04,27,0.718634500893198,0.998469051191115,1.11985,3e-4,0,125237.6,20,7477.6,2977.6000000000004,0.5956785492272407,0.71,-0.281365499106802,0
2020-03-28,1,5500,6195.08333333333,1045.63,27,0.887943761064743,0.996669381526067,1.0382,3e-4,0,18585.25,3,7477.6,1977.6000000000004,0.8912999818291367,0.88,-0.11205623893525696,0
2020-03-28,1,6000,6190.02780548629,769.221571072319,27,0.969447048380869,0.996173580763121,1.02462493765586,3e-4,0,992880.46,160.4,7477.6,1477.6000000000004,0.9209029694008446,0.96,-0.030552951619130964,0
2020-03-28,1,6500,6184.01989316239,527.880576923077,27,1.05123183964396,0.994842981855346,0.991389743589744,3e-4,0,578824.262,93.6,7477.6,977.6000000000004,0.8519340220817722,1.05,0.05123183964395994,0
2020-03-28,1,7000,6227.63855421687,363.026626506024,27,1.12409960839443,0.993364451870017,0.961768674698795,3e-4,0,103378.8,16.6,7477.6,477.60000000000036,0.3156059779876095,1.12,0.1240996083944299,0
2020-03-28,1,7500,6220.60850378788,246.343731060606,27,1.20575278140401,0.993430236118431,0.96915321969697,3e-4,0,656896.258,105.6,7477.6,0,-1,1.2,0.2057527814040101,0
2020-03-28,1,8000,6225.04480324074,173.792361111111,27,1.28517119784804,0.994186622679103,0.989885300925926,3e-4,0,1075687.742,172.8,7477.6,0,-1,1.28,0.28517119784804,0
2020-03-28,1,9000,6204.37888888889,88.2889711934156,27,1.45066802365121,0.995598148856584,1.03498641975309,3e-4,0,301532.814,48.6,7477.6,0,-1,1.45,0.45066802365120995,0
2020-03-28,1,10000,6227.32856230032,53.6467092651757,27,1.60591783798319,0.997114496131649,1.09466134185304,3e-4,0,389830.768,62.6,7477.6,0,-1,1.6,0.60591783798319,0
2020-03-28,1,11000,6244.22693266833,37.4541645885287,27,1.76162724985681,0.99841175672383,1.17082418952618,3e-4,0,1001574,160.4,7477.6,0,-1,1.76,0.76162724985681,0
2020-03-28,1,12000,6207.78081,30.42352,27,1.93309501916176,0.99934928030328,1.2755686,3e-4,0,1241556.162,200,7477.6,0,-1,1.93,0.93309501916176,0
2020-05-30,1,8000,9595.52,1826.12965517241,27,0.833779328530509,0.98037076861415,0.773427586206897,0.0014,0,55654.016,5.8,9240.85,1240.8500000000004,-0.3205027931694979,0.83,-0.16622067146949104,1
