tau_<=9,tau_10_26,tau_27_33,tau_>33,Total
0.00994279719459841,0.0055025439400326,0.00188045245563997,0.0141782562343597,0.0315040498246307
0.029853515037656,0.00854121299588051,0.00192486260135347,0.00857014303365959,0.0488897336685496
0.225009459361037,0.0393329240832667,0.00527237249910609,0.0177447715935451,0.287359527536955
0.166679143802843,0.0499507554927103,0.0069652872537045,0.022917665366253,0.246512851915511
0.0797261086739105,0.104778506301546,0.024140593893072,0.177088628185825,0.385733837054354
0.511211024070045,0.208105942813436,0.0401835687028761,0.240499464413643,1
