test_date,Strike,Cluster,Moneyness,Delta_call,Delta_put,option_return_call,option_return_put,value_t,weight_call,weight_put,R_t
2019-11-30,7000,1,0.9174752308019232,0.7335740971379134,-0.2795298181921494,-0.7869824460041781,-1,239165.12699999998,0.2759142610766442,0.7240857389233558,-0.9412254189928886
2019-11-30,7500,1,0.9864894936330805,0.5476098340748462,-0.41701995129795816,-1,-0.27242920595489317,97571.42599999999,0.4323108799059017,0.5676891200940983,-0.5869659761223689
2019-11-30,8000,1,1.0458908649885077,0.41733342526918854,-0.5458723167164077,-1,0.23872494322575416,129853.238,0.5667245251166398,0.43327547488336016,-0.46329086197399805
2019-11-30,10000,1,1.3018671387665084,0.0978225422061935,-0.8974607538148069,-1,0.22118621720783327,257197.582,0.9017138712191052,0.09828612878089482,-0.8799743341900571
2020-03-28,4500,0,0.7238217637282041,0.8920358809584745,-0.13707800849622773,0.5956796219479442,-1,1188867.42,0.1332000373339256,0.8667999626660744,-0.7874554147835495
2020-03-28,5500,0,0.8866064289793384,0.7126542082872757,-0.29123502052013717,0.9003316387662869,-1,611406.374,0.29010672907220525,0.7098932709277948,-0.448701004125089
2020-03-28,6000,0,0.9682300690365281,0.5931419316533423,-0.39363868380555556,0.9911792815716289,-1,1492572.006,0.39891205566750587,0.6010879443324941,-0.20569457958571402
2020-03-28,6500,0,1.0466522749156335,0.48635942121830067,-0.5084342617174359,0.8254724022118226,-1,659919.55,0.5110951853021373,0.48890481469786273,-0.06700984432761087
2020-05-30,8000,1,0.8354394163689786,0.8385411514044027,-0.16658701967708706,-0.336994198268638,-1,1751233.578,0.16573709151723814,0.8342629084827619,-0.8901153467619894
2020-05-30,9000,1,0.9416568606504488,0.6726638585227762,-0.3476793848746421,-0.7729744424532526,-1,1242353.662,0.34074747603265393,0.6592525239673461,-0.9226416142710399
2020-05-30,9500,1,0.997357577534349,0.5445676832241496,-0.4604501029335739,-1,-0.5883502726236979,2951394.144,0.458151198193136,0.541848801806864,-0.7769480884570285
2020-05-30,10000,1,1.04839066883927,0.42918954704078227,-0.5649574956816338,-1,-0.14135015923534416,1812770.5420000001,0.5682836355218935,0.43171636447810646,-0.6293068123853778
2020-05-30,12000,1,1.2573940136549169,0.1645377726800907,-0.8616752747015103,-1,0.07804760726558188,11022546.196,0.839665093812721,0.16033490618727897,-0.8271513380236524
2020-07-04,7000,1,0.7668008924017812,0.9384473010021845,-0.06063162628451564,0.8606906973602708,-1,750972.968,0.06068752390682394,0.939312476093176,-0.8870792888207436
2020-07-04,7500,1,0.8246356363080987,0.8979827088159886,-0.10043629834459647,1.0696928624323654,-1,622910.342,0.10059533885500475,0.8994046611449953,-0.7917985451778315
2020-07-04,8000,1,0.880094669099384,0.8251848749141196,-0.174648384566957,1.440528025092925,-1,1706400.7920000001,0.17467751038568297,0.825322489614317,-0.5736946405502802
2020-07-04,9000,1,0.9857233630630097,0.5732893103101828,-0.43485905238322464,2.795372168607126,-1,1303176.886,0.431344302560229,0.568655697439771,0.6371121610243446
2020-07-04,9250,1,1.016864862359899,0.4691579112168394,-0.5105923971983857,3.80661317185913,-1,1114264.7719999999,0.521145431456188,0.47885456854381203,1.5049444952915225
2020-07-04,10500,1,1.155205664408302,0.15087757925637665,-0.861768753798287,5.7799577879791295,-1,408447.27999999997,0.8510066403921575,0.14899335960784255,4.769789099148763
2020-07-04,11500,1,1.262234600657495,0.07842151140750395,-0.926754264701328,-1,-0.8381487502105757,808229.458,0.9219822907879018,0.07801770921209816,-0.987372736258314
2020-07-04,12000,1,1.3179333665405988,0.057727467510608206,-0.9462525196624525,-1,-0.6901701258610164,543207.282,0.9425013762742886,0.05749862372571135,-0.982185208647898
2020-07-04,13000,1,1.4238425044211644,0.037872667369193896,-0.9676233242581792,-1,-0.5074544609166765,392185.532,0.9623343427675949,0.037665657232405114,-0.9814479485535373
2020-08-29,8000,1,0.6929820984265533,0.962627271227228,-0.04424567629656105,-0.24790260605326597,-1,214512.44,0.04394365386951234,0.9560563461304876,-0.9669500924442425
