test_date,Strike,Cluster,Moneyness,Delta_call,Delta_put,option_return_call,option_return_put,value_t,weight_call,weight_put,R_t
2019-11-30,7000,1,0.9248840028421033,0.7383502729333642,-0.2949391689758321,-0.7957821458710583,-1,239165.12699999998,0.28543712633981494,0.714562873660185,-0.9417086425701513
2019-11-30,7500,1,0.9838946086531529,0.5488056591687088,-0.4110782516654886,-1,-0.26340852140097676,97571.42599999999,0.4282582998065221,0.5717417001934779,-0.5788599356777666
2019-11-30,8000,1,1.0411754229802102,0.43147984668619527,-0.5449027061427629,-1,0.23663106715537982,129853.238,0.5580832067963206,0.4419167932036794,-0.45351196442665065
2019-11-30,10000,1,1.3063886424873137,0.094844724021850485,-0.8974578977468103,-1,0.2211870854831897,257197.582,0.9044195571580763,0.09558044284192369,-0.8832783975766786
2020-03-28,4500,0,0.7229569803502566,0.8920395166299467,-0.1373528573169333,0.5956785522001469,-1,1188867.42,0.13343100336978128,0.8665689966302187,-0.7870870097242945
2020-03-28,5500,0,0.8815740609207325,0.7128207571252262,-0.28571253140796277,0.898638740884473,-1,611406.374,0.28613220479375767,0.7138677952062423,-0.45673831096388173
2020-03-28,6000,0,0.9679934999397274,0.5993764105110906,-0.39474819029574076,0.925565008923715,-1,1492572.006,0.39708120086291315,0.6029187991370868,-0.23539433391696513
2020-03-28,6500,0,1.0499764706167594,0.48041362329342324,-0.5027488233415994,0.8541776509877301,-1,659919.55,0.5113588553573323,0.4886411446426677,-0.051849838761767186
2020-05-30,8000,1,0.8368957850121808,0.83390290591817,-0.16507201750617775,-0.31955527498853303,-1,1751233.578,0.16524140259730818,0.8347585974026919,-0.8875623592491656
2020-05-30,9000,1,0.943209680014611,0.6743314242175785,-0.34867216047362526,-0.773679947008018,-1,1242353.662,0.3408318071327901,0.65916819286721,-0.922862927348354
2020-05-30,9500,1,1.0023398623372746,0.5386269207451512,-0.4714219660416473,-1,-0.5977125849951775,2951394.144,0.46673183071499713,0.5332681692850029,-0.7854729266739822
2020-05-30,10000,1,1.0514292657785262,0.4221053826502344,-0.5691205584417006,-1,-0.14924683551235418,1812770.5420000001,0.5741582568094991,0.42584174319050094,-0.6377137894097459
2020-05-30,12000,1,1.2565517761246667,0.16676149135017257,-0.8616740084761162,-1,0.07804848428780559,11022546.196,0.8378493436113981,0.16215065638860193,-0.8251937306539949
2020-07-04,7000,1,0.7699345044867181,0.9384425985033827,-0.061777932571178744,0.860572290137629,-1,750972.968,0.06176431162116738,0.9382356883788326,-0.8850830332782305
2020-07-04,7500,1,0.8259615635021836,0.8979804610426035,-0.10168137070516799,1.0695790837634986,-1,622910.342,0.10171576774857159,0.8982842322514284,-0.7894911745786104
2020-07-04,8000,1,0.8804496616759658,0.8252202765212208,-0.17542205088295482,1.4402175539758313,-1,1706400.7920000001,0.17530944482233463,0.8246905551776653,-0.5722068153667816
2020-07-04,9000,1,0.9862053369783295,0.5667977727806485,-0.4292113478831816,2.946297829242282,-1,1303176.886,0.43093114207339445,0.5690688579266056,0.700582630517134
2020-07-04,9250,1,1.017756307564573,0.464718814634407,-0.511746632015963,3.947305685394398,-1,1114264.7719999999,0.5240806356962647,0.47591936430373527,1.5927871085852408
2020-07-04,10500,1,1.1568200429685835,0.15040228778762824,-0.861768753798287,5.749767761483111,-1,408447.27999999997,0.8514062528878803,0.1485937471121197,4.746794477667751
2020-07-04,11500,1,1.2663482998166082,0.07502809858248433,-0.9267485985746214,-1,-0.8381478827708776,808229.458,0.9251049672093561,0.07489503279064391,-0.9878780803728897
2020-07-04,12000,1,1.3210426733565044,0.05835291717501937,-0.9462334621019949,-1,-0.690164380114865,543207.282,0.9419134895925872,0.05808651040741275,-0.982002730040955
2020-07-04,13000,1,1.4319753131535693,0.03928491916084525,-0.9676179946376141,-1,-0.5074338598572772,392185.532,0.960984402147923,0.03901559785207698,-0.9807822375606418
2020-08-29,8000,1,0.6936660643084385,0.962627271227228,-0.04586138059253639,-0.24790260605326597,-1,214512.44,0.04547535612798612,0.9545246438720139,-0.9657981031673419
2020-08-29,9000,1,0.7834813150532596,0.8862760402633498,-0.08286908151606853,-0.35917436686292875,-1,721395.634,0.08550740199147377,0.9144925980085262,-0.9452046649809077
2020-08-29,10000,1,0.8679564343338836,0.8159736109336325,-0.1658434535136557,-0.5804210928990228,-1,3308921.838,0.1689148208144222,0.8310851791855778,-0.9291269040895274
2020-08-29,10500,1,0.9133548873297405,0.7413362195150703,-0.245023114945031,-0.8211604841064598,-1,418457.278,0.24841161469734363,0.7515883853026564,-0.9555741870851944
2020-08-29,11000,1,0.9583601571678929,0.6383330490449367,-0.3535267829441398,-1,-0.3037772345156462,4487874.384,0.35642816811643324,0.6435718318835668,-0.5519306394181915
2020-08-29,11500,1,1.001650192903549,0.5224228021733063,-0.4687935938666734,-1,0.3061426624243893,4284729.37,0.4729477798587233,0.5270522201412766,-0.3115946099479876
2020-08-29,12000,1,1.0439170366266957,0.4077736141223259,-0.5944753716026617,-1,0.486774474677009,2234660.34,0.5931414050498056,0.4068585949501944,-0.3950930262250988
2020-08-29,13000,1,1.127018592209904,0.23209673587400675,-0.7867209967604417,-1,0.39219303924703997,2060125.73,0.7721901293631261,0.22780987063687386,-0.6828446838275756
2021-02-27,18000,0,0.38312681100047913,0.9890753657896711,-0.011534457149951135,0.1444266773702918,-1,2095389.7689999999,0.011527427460251042,0.988472572539749,-0.9868077044930379
2021-02-27,24000,0,0.5249384134075001,0.966534869737702,-0.031578908370486464,0.24197747527566985,-1,315465.578,0.03163858576357968,0.9683614142364203,-0.9607055891320565
2021-02-27,28000,0,0.5995988228635178,0.9444784417392982,-0.04981091772759759,0.1990449107292555,-1,667779.83,0.050097003707557035,0.949902996292443,-0.9399314426616692
2021-02-27,32000,0,0.6867614608856203,0.8958396841302697,-0.09121278570609989,0.33148364270001823,-1,3210430.587,0.09240925735307755,0.9075907426469224,-0.8769585854003208
2021-02-27,36000,0,0.7686358056389665,0.8249802056039084,-0.14802999161371333,0.3540834467764418,-1,4538430.261,0.15213611536345,0.84786388463655,-0.7939950045294812
2021-02-27,44000,0,0.9354694842764273,0.667270933127359,-0.3518114824823459,-0.08344497891505231,-1,5437269.826,0.3452237788558654,0.6547762211441346,-0.683583412091737
2021-02-27,48000,0,1.0173371857639162,0.5296745432977159,-0.4669995309983245,-0.3338324776464243,-1,15211475.818,0.4685579198276732,0.5314420801723267,-0.6878619314692536
2021-02-27,50000,0,1.070451936972211,0.45878823691614007,-0.550223397254217,-0.6595595006810916,-1,24765240.815,0.5453092696068158,0.4546907303931842,-0.8143546399718264
2021-02-27,52000,0,1.1060732603406576,0.4133695644635833,-0.5764260280826101,-1,-0.9225838768077284,26684670.047000002,0.5823687561588212,0.4176312438411788,-0.9676686081778496
2021-02-27,56000,0,1.1946258552334463,0.3141935842203976,-0.6996516918136432,-1,-0.57906934653556,18877207.371,0.6900971068786158,0.3099028931213842,-0.8695523726878952
2021-07-03,32000,0,0.9332247015824456,0.659097517030245,-0.34425596384615664,0.7651314048857922,-1,394331.611,0.34310536656080426,0.6568946334391957,-0.39437394229867284
2021-07-03,34000,0,0.9855008349151703,0.5717337751874719,-0.42790137600074973,0.7336193494722449,-1,721054.691,0.4280575522900755,0.5719424477099244,-0.2579111446621977
2021-07-03,35000,0,1.0110240021100059,0.5281980619137462,-0.464431820894466,0.6528777130296908,-1,1994017.942,0.4678801524497321,0.532119847550268,-0.22665132364690382
2021-07-03,40000,0,1.1757128733695883,0.27380994740990655,-0.715793548756903,-0.9947482832888301,-1,4991014.501,0.7233134801256274,0.27668651987437265,-0.9962013625090098
2021-07-03,60000,0,1.7641190031430154,0.026381792047018817,-0.859246896859673,-1,-0.24313623802854223,105435.064,0.9702112269199554,0.029788773080044573,-0.9774539571421234
2021-10-02,40000,0,0.8359148750698919,0.8110832899851744,-0.17512158857239246,1.2790782892117982,-1,1387701.1099999999,0.17757120490878836,0.8224287950912117,-0.5953013221032011
