test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.0200421150892078,0.972,0.0156,0,7468.44,1,7194.4,0,-1,0.6,-0.397464530745376,1,14.94,0,7468.44,7194.4,"(-0.5,-0.1]",27,-0.1241157053528999,3.747968745786423e-4,-0.12449050222747854
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.0200421150892078,0.972,0.0156,0,3734.22,0.5,7194.4,0,-1,0.6,-0.397464530745376,1,14.94,0,7468.44,7194.4,"(-0.5,-0.1]",27,-0.1241157053528999,3.747968745786423e-4,-0.12449050222747854
2019-11-30,-1,5000,7692.19,30.77,27,0.650009945152161,0.0364150117785511,0.9543,0.0156,0,7692.19,1,7194.4,0,-1,0.65,-0.34999005484783896,1,30.77,0,7692.19,7194.4,"(-0.5,-0.1]",27,-0.1572852600033573,3.747968745786423e-4,-0.15766005687793594
2019-11-30,-1,5000,7731.28,30.93,27,0.646723440361751,0.0351846017824619,0.9567,0.0156,0,773.128,0.1,7194.4,0,-1,0.64,-0.353276559638249,1,30.93,0,7731.28,7194.4,"(-0.5,-0.1]",27,-0.16444818874964712,3.747968745786423e-4,-0.16482298562422576
2019-11-30,-1,5000,7731.28,30.93,27,0.646723440361751,0.0351846017824619,0.9567,0.0156,0,22420.712,2.9,7194.4,0,-1,0.64,-0.353276559638249,1,30.93,0,7731.28,7194.4,"(-0.5,-0.1]",27,-0.16444818874964712,3.747968745786423e-4,-0.16482298562422576
2019-11-30,-1,5000,7733.86,30.94,27,0.646507694734583,0.0352107365741726,0.9577,0.0156,0,46403.16,6,7194.4,0,-1,0.64,-0.353492305265417,1,30.94,0,7733.86,7194.4,"(-0.5,-0.1]",27,-0.16466274006806128,3.747968745786423e-4,-0.16503753694263992
2019-11-30,-1,5500,7536.39,37.68,27,0.729792380702166,0.0537624872571393,0.7727,0.0156,0,1507.278,0.2,7194.4,0,-1,0.72,-0.270207619297834,1,37.68,0,7536.39,7194.4,"(-0.5,-0.1]",27,-0.12660176352377317,3.747968745786423e-4,-0.1269765603983518
2019-11-30,-1,6000,7744.07,61.95,27,0.77478638493712,0.0826682811336522,0.7318,0.0156,0,774.407,0.1,7194.4,0,-1,0.77,-0.22521361506287996,1,61.95,0,7744.07,7194.4,"(-0.5,-0.1]",27,-0.152947323591158,3.747968745786423e-4,-0.15332212046573665
2019-11-30,-1,6000,7798.24,62.39,27,0.769404378423849,0.0819448804185439,0.7504,0.0156,0,4678.944,0.6,7194.4,0,-1,0.76,-0.230595621576151,1,62.39,0,7798.24,7194.4,"(-0.5,-0.1]",27,-0.15949396852811304,3.747968745786423e-4,-0.15986876540269168
2019-11-30,-1,6000,7765.72,62.13,27,0.772626363041675,0.0822661345969363,0.7388,0.0156,0,185600.708,23.9,7194.4,0,-1,0.77,-0.22737363695832505,1,62.13,0,7765.72,7194.4,"(-0.5,-0.1]",27,-0.15568117527121655,3.747968745786423e-4,-0.1560559721457952
2019-11-30,-1,6000,7510.12,71.35,27,0.798921987930952,0.100393885352726,0.7007,0.0156,0,6759.108,0.9,7194.4,0,-1,0.79,-0.20107801206904796,1,71.35,0,7510.12,7194.4,"(-0.5,-0.1]",27,-0.12485622754636302,3.747968745786423e-4,-0.12523102442094167
2019-11-30,-1,6000,7764.02,58.23,27,0.772795536332982,0.0777565205616645,0.7198,0.0156,0,58230.15,7.5,7194.4,0,-1,0.77,-0.22720446366701796,1,58.23,0,7764.02,7194.4,"(-0.5,-0.1]",27,-0.15488220294818023,3.747968745786423e-4,-0.15525699982275887
2019-11-30,-1,6000,7590.92,72.11,27,0.79041802574655,0.0967848048289499,0.7231,0.0156,0,8350.012,1.1,7194.4,0,-1,0.79,-0.20958197425345004,1,72.11,0,7590.92,7194.4,"(-0.5,-0.1]",27,-0.1369455852941066,3.747968745786423e-4,-0.13732038216868525
2019-11-30,-1,6000,7595.2,68.36,27,0.789972614282705,0.0936697529879769,0.7131,0.0156,0,6835.68,0.9,7194.4,0,-1,0.78,-0.21002738571729496,1,68.36,0,7595.2,7194.4,"(-0.5,-0.1]",27,-0.13580760197701547,3.747968745786423e-4,-0.1361823988515941
2019-11-30,-1,6500,7588.15,140.38,27,0.856598775722673,0.175297369135613,0.682,0.0156,0,7588.15,1,7194.4,0,-1,0.85,-0.14340122427732704,1,140.38,0,7588.15,7194.4,"(-0.5,-0.1]",27,-0.1423967401026145,3.747968745786423e-4,-0.14277153697719314
2019-11-30,-1,6500,7669.1,130.37,27,0.847557079709483,0.161820648884275,0.6851,0.0156,0,766.91,0.1,7194.4,0,-1,0.84,-0.15244292029051698,1,130.37,0,7669.1,7194.4,"(-0.5,-0.1]",27,-0.15107770410407168,3.747968745786423e-4,-0.15145250097865032
2019-11-30,-1,6500,7755.26,124.08,27,0.838140823131655,0.149458891669516,0.6917,0.0156,0,11632.89,1.5,7194.4,0,-1,0.83,-0.16185917686834494,1,124.08,0,7755.26,7194.4,"(-0.5,-0.1]",27,-0.1620245941822622,3.747968745786423e-4,-0.16239939105684084
2019-11-30,-1,6500,7548.11,135.87,27,0.861142723145264,0.177237982248928,0.6627,0.0156,0,7548.11,1,7194.4,0,-1,0.86,-0.13885727685473603,1,135.87,0,7548.11,7194.4,"(-0.5,-0.1]",27,-0.13473793905957254,3.747968745786423e-4,-0.13511273593415118
2019-11-30,-1,6500,7473.05,153.2,27,0.869792119683396,0.193821346905949,0.6691,0.0156,0,7473.05,1,7194.4,0,-1,0.86,-0.13020788031660402,1,153.2,0,7473.05,7194.4,"(-0.5,-0.1]",27,-0.12937286534365694,3.747968745786423e-4,-0.12974766221823558
2019-11-30,-1,6500,7507.91,146.4,27,0.865753585218789,0.186532918414848,0.6679,0.0156,0,187697.75,25,7194.4,0,-1,0.86,-0.13424641478121102,1,146.4,0,7507.91,7194.4,"(-0.5,-0.1]",27,-0.13244786065554795,3.747968745786423e-4,-0.1328226575301266
2019-11-30,-1,6500,7531.23,143.09,27,0.863072831396731,0.18253189537645,0.6698,0.0156,0,7531.23,1,7194.4,0,-1,0.86,-0.13692716860326903,1,143.09,0,7531.23,7194.4,"(-0.5,-0.1]",27,-0.13478386893075195,3.747968745786423e-4,-0.1351586658053306
2019-11-30,-1,6500,7567.19,136.21,27,0.858971427967317,0.174705120406423,0.6664,0.0156,0,37835.95,5,7194.4,0,-1,0.85,-0.14102857203268304,1,136.21,0,7567.19,7194.4,"(-0.5,-0.1]",27,-0.13806969917460155,3.747968745786423e-4,-0.1384444960491802
2020-03-28,-1,3500,6243.26,68.68,27,0.56060455595314,0.05358803604232,1.5145,3e-4,0,624.326,0.1,7477.6,0,-1,0.56,-0.43939544404686,0,68.68,0,6243.26,7477.6,"(-0.5,-0.1]",27,-0.006284391902165553,3.747968745786423e-4,-0.006659188776744195
2020-03-28,-1,3500,6173.56,71,27,0.566933827483656,0.0549544672920642,1.4956,3e-4,0,123471.2,20,7477.6,0,-1,0.56,-0.4330661725163441,0,71,0,6173.56,7477.6,"(-0.5,-0.1]",27,0.0016155996988611967,3.747968745786423e-4,0.0012408028242825544
2020-03-28,-1,3500,6161.8,67.78,27,0.568015839527411,0.0537300678411313,1.476,3e-4,0,123236,20,7477.6,0,-1,0.56,-0.43198416047258903,0,67.78,0,6161.8,7477.6,"(-0.5,-0.1]",27,0.0073160198034320605,3.747968745786423e-4,0.006941222928853418
2020-03-28,-1,3500,6142.65,67.57,27,0.569786655596526,0.0551482108237037,1.4823,3e-4,0,24570.6,4,7477.6,0,-1,0.56,-0.430213344403474,0,67.57,0,6142.65,7477.6,"(-0.5,-0.1]",27,0.014889772493489224,3.747968745786423e-4,0.014514975618910582
2020-03-28,-1,3500,6114.64,76.43,27,0.572396739628171,0.0585070196247881,1.5054,3e-4,0,122292.8,20,7477.6,0,-1,0.57,-0.42760326037182905,0,76.43,0,6114.64,7477.6,"(-0.5,-0.1]",27,0.007629859348658339,3.747968745786423e-4,0.007255062474079697
2020-03-28,-1,3500,6108.23,76.35,27,0.572997414963091,0.0586177324669104,1.5033,3e-4,0,305411.5,50,7477.6,0,-1,0.57,-0.427002585036909,0,76.35,0,6108.23,7477.6,"(-0.5,-0.1]",27,0.009022465393730911,3.747968745786423e-4,0.008647668519152269
2020-03-28,-1,3500,6235.84,65.48,27,0.561271616975419,0.051943226420154,1.4919,3e-4,0,155896,25,7477.6,0,-1,0.56,-0.43872838302458095,0,65.48,0,6235.84,7477.6,"(-0.5,-0.1]",27,-0.002514137607210362,3.747968745786423e-4,-0.002888934481789004
2020-03-28,-1,3500,6219.82,68.42,27,0.562717249052223,0.054807676469954,1.517,3e-4,0,3109.91,0.5,7477.6,0,-1,0.56,-0.437282750947777,0,68.42,0,6219.82,7477.6,"(-0.5,-0.1]",27,0.0012606445389244407,3.747968745786423e-4,8.858476643457984e-4
2020-03-28,-1,3500,6220.06,68.42,27,0.562695536699003,0.0547973026865392,1.517,3e-4,0,6220.06,1,7477.6,0,-1,0.56,-0.43730446330099704,0,68.42,0,6220.06,7477.6,"(-0.5,-0.1]",27,0.0011967869223451072,3.747968745786423e-4,8.219900477664649e-4
